SalesOrderID,SalesOrderDetailID,CarrierTrackingNumber,OrderQty,ProductID,SpecialOfferID,UnitPrice,UnitPriceDiscount,LineTotal,rowguid,ModifiedDate,SalesOrderID,RevisionNumber,OrderDate,DueDate,ShipDate,Status,OnlineOrderFlag,SalesOrderNumber,PurchaseOrderNumber,AccountNumber,CustomerID,SalesPersonID,TerritoryID,BillToAddressID,ShipToAddressID,ShipMethodID,CreditCardID,CreditCardApprovalCode,CurrencyRateID,SubTotal,TaxAmt,Freight,TotalDue,Comment,rowguid,ModifiedDate,ProductID,Name,ProductNumber,MakeFlag,FinishedGoodsFlag,Color,SafetyStockLevel,ReorderPoint,StandardCost,ListPrice,Size,SizeUnitMeasureCode,WeightUnitMeasureCode,Weight,DaysToManufacture,ProductLine,Class,Style,ProductSubcategoryID,ProductModelID,SellStartDate,SellEndDate,DiscontinuedDate,rowguid,ModifiedDate
43659,1,4911-403C-98,1,776,1,"2024,994","0,00",2024.994,B207C96D-D9E6-402B-8470-2CC176C42283,"2011-05-31 00:00:00.000",43659,8,"2011-05-31 00:00:00.000","2011-06-12 00:00:00.000","2011-06-07 00:00:00.000",5,0,SO43659,PO522145787,10-4020-000676,29825,279,5,985,985,5,16281,105041Vi84182,NULL,"20565,6206","1971,5149","616,0984","23153,2339",NULL,79B65321-39CA-4115-9CBA-8FE0903E12E6,"2011-06-07 00:00:00.000",776,"Mountain-100 Black, 42",BK-M82B-42,1,1,Black,100,75,"1898,0944","3374,99",42,"CM ","LB ",20.77,4,"M ","H ","U ",1,19,"2011-05-31 00:00:00.000","2012-05-29 00:00:00.000",NULL,02935111-A546-4C6D-941F-BE12D42C158E,"2014-02-08 10:01:36.827"
43659,2,4911-403C-98,3,777,1,"2024,994","0,00",6074.982,7ABB600D-1E77-41BE-9FE5-B9142CFC08FA,"2011-05-31 00:00:00.000",43659,8,"2011-05-31 00:00:00.000","2011-06-12 00:00:00.000","2011-06-07 00:00:00.000",5,0,SO43659,PO522145787,10-4020-000676,29825,279,5,985,985,5,16281,105041Vi84182,NULL,"20565,6206","1971,5149","616,0984","23153,2339",NULL,79B65321-39CA-4115-9CBA-8FE0903E12E6,"2011-06-07 00:00:00.000",777,"Mountain-100 Black, 44",BK-M82B-44,1,1,Black,100,75,"1898,0944","3374,99",44,"CM ","LB ",21.13,4,"M ","H ","U ",1,19,"2011-05-31 00:00:00.000","2012-05-29 00:00:00.000",NULL,7920BC3B-8FD4-4610-93D2-E693A66B6474,"2014-02-08 10:01:36.827"
43659,3,4911-403C-98,1,778,1,"2024,994","0,00",2024.994,475CF8C6-49F6-486E-B0AD-AFC6A50CDD2F,"2011-05-31 00:00:00.000",43659,8,"2011-05-31 00:00:00.000","2011-06-12 00:00:00.000","2011-06-07 00:00:00.000",5,0,SO43659,PO522145787,10-4020-000676,29825,279,5,985,985,5,16281,105041Vi84182,NULL,"20565,6206","1971,5149","616,0984","23153,2339",NULL,79B65321-39CA-4115-9CBA-8FE0903E12E6,"2011-06-07 00:00:00.000",778,"Mountain-100 Black, 48",BK-M82B-48,1,1,Black,100,75,"1898,0944","3374,99",48,"CM ","LB ",21.42,4,"M ","H ","U ",1,19,"2011-05-31 00:00:00.000","2012-05-29 00:00:00.000",NULL,1B486300-7E64-4C5D-A9BA-A8368E20C5A0,"2014-02-08 10:01:36.827"
43659,4,4911-403C-98,1,771,1,"2039,994","0,00",2039.994,04C4DE91-5815-45D6-8670-F462719FBCE3,"2011-05-31 00:00:00.000",43659,8,"2011-05-31 00:00:00.000","2011-06-12 00:00:00.000","2011-06-07 00:00:00.000",5,0,SO43659,PO522145787,10-4020-000676,29825,279,5,985,985,5,16281,105041Vi84182,NULL,"20565,6206","1971,5149","616,0984","23153,2339",NULL,79B65321-39CA-4115-9CBA-8FE0903E12E6,"2011-06-07 00:00:00.000",771,"Mountain-100 Silver, 38",BK-M82S-38,1,1,Silver,100,75,"1912,1544","3399,99",38,"CM ","LB ",20.35,4,"M ","H ","U ",1,19,"2011-05-31 00:00:00.000","2012-05-29 00:00:00.000",NULL,CA74B54E-FC30-4464-8B83-019BFD1B2DBB,"2014-02-08 10:01:36.827"
43659,5,4911-403C-98,1,772,1,"2039,994","0,00",2039.994,5A74C7D2-E641-438E-A7AC-37BF23280301,"2011-05-31 00:00:00.000",43659,8,"2011-05-31 00:00:00.000","2011-06-12 00:00:00.000","2011-06-07 00:00:00.000",5,0,SO43659,PO522145787,10-4020-000676,29825,279,5,985,985,5,16281,105041Vi84182,NULL,"20565,6206","1971,5149","616,0984","23153,2339",NULL,79B65321-39CA-4115-9CBA-8FE0903E12E6,"2011-06-07 00:00:00.000",772,"Mountain-100 Silver, 42",BK-M82S-42,1,1,Silver,100,75,"1912,1544","3399,99",42,"CM ","LB ",20.77,4,"M ","H ","U ",1,19,"2011-05-31 00:00:00.000","2012-05-29 00:00:00.000",NULL,BBFFF5A5-4BDC-49A9-A5AD-7584ADFFE808,"2014-02-08 10:01:36.827"
43659,6,4911-403C-98,2,773,1,"2039,994","0,00",4079.988,CE472532-A4C0-45BA-816E-EEFD3FD848B3,"2011-05-31 00:00:00.000",43659,8,"2011-05-31 00:00:00.000","2011-06-12 00:00:00.000","2011-06-07 00:00:00.000",5,0,SO43659,PO522145787,10-4020-000676,29825,279,5,985,985,5,16281,105041Vi84182,NULL,"20565,6206","1971,5149","616,0984","23153,2339",NULL,79B65321-39CA-4115-9CBA-8FE0903E12E6,"2011-06-07 00:00:00.000",773,"Mountain-100 Silver, 44",BK-M82S-44,1,1,Silver,100,75,"1912,1544","3399,99",44,"CM ","LB ",21.13,4,"M ","H ","U ",1,19,"2011-05-31 00:00:00.000","2012-05-29 00:00:00.000",NULL,155FD77E-D6D6-43F0-8A5B-4A8305EB45CD,"2014-02-08 10:01:36.827"
43659,7,4911-403C-98,1,774,1,"2039,994","0,00",2039.994,80667840-F962-4EE3-96E0-AECA108E0D4F,"2011-05-31 00:00:00.000",43659,8,"2011-05-31 00:00:00.000","2011-06-12 00:00:00.000","2011-06-07 00:00:00.000",5,0,SO43659,PO522145787,10-4020-000676,29825,279,5,985,985,5,16281,105041Vi84182,NULL,"20565,6206","1971,5149","616,0984","23153,2339",NULL,79B65321-39CA-4115-9CBA-8FE0903E12E6,"2011-06-07 00:00:00.000",774,"Mountain-100 Silver, 48",BK-M82S-48,1,1,Silver,100,75,"1912,1544","3399,99",48,"CM ","LB ",21.42,4,"M ","H ","U ",1,19,"2011-05-31 00:00:00.000","2012-05-29 00:00:00.000",NULL,BA5551DF-C9EE-4B43-B3CA-8C19D0F9384D,"2014-02-08 10:01:36.827"
43659,8,4911-403C-98,3,714,1,"28,8404","0,00",86.5212,E9D54907-E7B7-4969-80D9-76BA69F8A836,"2011-05-31 00:00:00.000",43659,8,"2011-05-31 00:00:00.000","2011-06-12 00:00:00.000","2011-06-07 00:00:00.000",5,0,SO43659,PO522145787,10-4020-000676,29825,279,5,985,985,5,16281,105041Vi84182,NULL,"20565,6206","1971,5149","616,0984","23153,2339",NULL,79B65321-39CA-4115-9CBA-8FE0903E12E6,"2011-06-07 00:00:00.000",714,"Long-Sleeve Logo Jersey, M",LJ-0192-M,0,1,Multi,4,3,"38,4923","49,99",M,NULL,NULL,NULL,0,"S ",NULL,"U ",21,11,"2011-05-31 00:00:00.000",NULL,NULL,6A290063-A0CF-432A-8110-2EA0FDA14308,"2014-02-08 10:01:36.827"
43659,9,4911-403C-98,1,716,1,"28,8404","0,00",28.8404,AA542630-BDCD-4CE5-89A0-C1BF82747725,"2011-05-31 00:00:00.000",43659,8,"2011-05-31 00:00:00.000","2011-06-12 00:00:00.000","2011-06-07 00:00:00.000",5,0,SO43659,PO522145787,10-4020-000676,29825,279,5,985,985,5,16281,105041Vi84182,NULL,"20565,6206","1971,5149","616,0984","23153,2339",NULL,79B65321-39CA-4115-9CBA-8FE0903E12E6,"2011-06-07 00:00:00.000",716,"Long-Sleeve Logo Jersey, XL",LJ-0192-X,0,1,Multi,4,3,"38,4923","49,99",XL,NULL,NULL,NULL,0,"S ",NULL,"U ",21,11,"2011-05-31 00:00:00.000",NULL,NULL,6EC47EC9-C041-4DDA-B686-2125D539CE9B,"2014-02-08 10:01:36.827"
43659,10,4911-403C-98,6,709,1,"5,70","0,00",34.2,AC769034-3C2F-495C-A5A7-3B71CDB25D4E,"2011-05-31 00:00:00.000",43659,8,"2011-05-31 00:00:00.000","2011-06-12 00:00:00.000","2011-06-07 00:00:00.000",5,0,SO43659,PO522145787,10-4020-000676,29825,279,5,985,985,5,16281,105041Vi84182,NULL,"20565,6206","1971,5149","616,0984","23153,2339",NULL,79B65321-39CA-4115-9CBA-8FE0903E12E6,"2011-06-07 00:00:00.000",709,"Mountain Bike Socks, M",SO-B909-M,0,1,White,4,3,"3,3963","9,50",M,NULL,NULL,NULL,0,"M ",NULL,"U ",23,18,"2011-05-31 00:00:00.000","2012-05-29 00:00:00.000",NULL,18F95F47-1540-4E02-8F1F-CC1BCB6828D0,"2014-02-08 10:01:36.827"
43659,11,4911-403C-98,2,712,1,"5,1865","0,00",10.373,06A66921-6B9F-4199-A912-DDAFD383472B,"2011-05-31 00:00:00.000",43659,8,"2011-05-31 00:00:00.000","2011-06-12 00:00:00.000","2011-06-07 00:00:00.000",5,0,SO43659,PO522145787,10-4020-000676,29825,279,5,985,985,5,16281,105041Vi84182,NULL,"20565,6206","1971,5149","616,0984","23153,2339",NULL,79B65321-39CA-4115-9CBA-8FE0903E12E6,"2011-06-07 00:00:00.000",712,"AWC Logo Cap",CA-1098,0,1,Multi,4,3,"6,9223","8,99",NULL,NULL,NULL,NULL,0,"S ",NULL,"U ",19,2,"2011-05-31 00:00:00.000",NULL,NULL,B9EDE243-A6F4-4629-B1D4-FFE1AEDC6DE7,"2014-02-08 10:01:36.827"
